Sale Time,Token [OS],Price,$USD,Buyer [OS],Seller,Dashboard Link,Transaction
2022-01-22T15:27:58+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9668"" target=""_blank"">Mouse #9668</a>",0.15,360.4425,"<a href=""https://opensea.io/0xe26bd5475de471b5aa9fca19705417a2d96e829a?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0xe26bd</a>","<a href=""https://opensea.io/0x0e26b2af0cad6eda72fd0d2b39cfb4d71bab4a36?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">Fuck Off Van</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x27795c50ab481b25101ec532d2fdf361c0caa01fadb93e0862e431a57c8901cd"" target=""_blank"">[Etherscan]</a>"
2022-01-22T15:16:23+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9641"" target=""_blank"">Cat #9641</a>",0.085,204.9146,"<a href=""https://opensea.io/0x62607d87b5793859fb80ac96c743e8e1df4e4905?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">GSSISBST</a>","<a href=""https://opensea.io/0xedb8da4f96b2b336b07edb6a858d36f48ab046a2?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">Fuck Off Anthony</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x732633605ee643a385de54df58bbd72fded6cd46a8ba379b5a0ab05356082b2e"" target=""_blank"">[Etherscan]</a>"
2022-01-22T15:14:14+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9669"" target=""_blank"">Cat #9669</a>",0.06,145.0182,"<a href=""https://opensea.io/0x6ea576e1bb2c3cb021742da5ca42e035224fa41f?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">herehappy</a>","<a href=""https://opensea.io/0xedb8da4f96b2b336b07edb6a858d36f48ab046a2?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">Fuck Off Anthony</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x3a6ed374bda9c694a79a356984e447e62c214b939a8ad987f94c9dcdb6f24f07"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:46:47+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9980"" target=""_blank"">Cat #9980</a>",0.048,118.83552,"<a href=""https://opensea.io/0x4bf5005878bc470caa70a51c6668b04361c03586?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0x4bf50</a>","<a href=""https://opensea.io/0x8b7d10735b579611f357d1975a69be60470f4da4?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">xxkamxx.eth</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x5dd8d3eb8014c3ec213b7a347d61106ee343dc75e17f696bd20c91a591db79e6"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:45:38+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9963"" target=""_blank"">Mouse #9963</a>",0.299,740.24626,"<a href=""https://opensea.io/0x888f38555d65556c8acbfbf808b87522293a363e?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0x888f3</a>","<a href=""https://opensea.io/0x8b7d10735b579611f357d1975a69be60470f4da4?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">xxkamxx.eth</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x68af4f0641418611fb4de837e8eed03bbe039438133810beb4034c0d07e3ff9c"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:42:10+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9994"" target=""_blank"">Cat #9994</a>",0.045,111.78945,"<a href=""https://opensea.io/0x4bf5005878bc470caa70a51c6668b04361c03586?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0x4bf50</a>","<a href=""https://opensea.io/0xe42bcc958fa7b7cc2457a96378b438f7f083150e?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0xe42bc</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x466a0decbb19819ddc3a86d7bbe7f99594f96e8c120ac0d29a9df1fe14345006"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:41:18+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/10017"" target=""_blank"">Cat #10017</a>",0.045,111.78945,"<a href=""https://opensea.io/0x888f38555d65556c8acbfbf808b87522293a363e?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0x888f3</a>","<a href=""https://opensea.io/0xe42bcc958fa7b7cc2457a96378b438f7f083150e?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0xe42bc</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x4698124f31269e528fd25f6a1967f79d9b829ee8761936175d7991961de8121f"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:08:48+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/10018"" target=""_blank"">Cat #10018</a>",0.05,124.2235,"<a href=""https://opensea.io/0x7293f0d71e0472b8481d9e30f9e30b14bc018094?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0x7293f</a>","<a href=""https://opensea.io/0x8b7d10735b579611f357d1975a69be60470f4da4?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">xxkamxx.eth</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x01008b76527b9d4219c4de73d720bbb03e25c85dcd2e50d793cbbf93bfe2d536"" target=""_blank"">[Etherscan]</a>"
2022-01-22T13:03:28+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/10000"" target=""_blank"">Cat #10000</a>",0.05,124.4275,"<a href=""https://opensea.io/0xd6cd6c24571d45d4e1ed6837ca0df7130190e8a9?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">0xd6cd6</a>","<a href=""https://opensea.io/0x8b7d10735b579611f357d1975a69be60470f4da4?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">xxkamxx.eth</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x58a770d61b8943f7b87ddf441b16bfa895dae73fc7dcdb064bd14e498dcc156b"" target=""_blank"">[Etherscan]</a>"
2022-01-22T12:53:09+00:00,"<a href=""https://opensea.io/assets/0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0/9994"" target=""_blank"">Cat #9994</a>",0.05,123.939,"<a href=""https://opensea.io/0xe42bcc958fa7b7cc2457a96378b438f7f083150e?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">Lamdba</a>","<a href=""https://opensea.io/0x8b7d10735b579611f357d1975a69be60470f4da4?tab=activity&search[chains][0]=ETHEREUM&search[eventTypes][0]=AUCTION_SUCCESSFUL"" target=""_blank"">xxkamxx.eth</a>","<a href=""https://dune.xyz/cryptuschrist/CUSTOM-NFT-Dashboard?NFT%20Contract=0xe19e0cb95a9e39cb0ecde82e8a9f9f432835a0d0""  target=""_blank"">C&M Game - Gen 1</a>","<a href=""https://etherscan.io/tx/0x8604978b8a2a16dbef022b1790bd22ceced9ade3b997b59f837f46aacbdfa24d"" target=""_blank"">[Etherscan]</a>"
