creator,contract
0x1072fc40557c44a193da9e6ab008c3b33bdcda43,0x59591675e0c85258a917e80c572131a3c257a953
0x12ad29ec858ed25f6e640cc41668fa4fa5a2973b,0x39cf57b4decb8ae3dec0dfca1e2ea2c320416288
0x12ad29ec858ed25f6e640cc41668fa4fa5a2973b,0xb0b1d4732efe32aea466ed6bc3c79181ed4810c4
0x19d97a5c6e1e482ff3f8f8d209736fab10be62bd,0xea8e09bcda60bacabee14dc80420bdfa0e73208a
0x1ff808e34e4df60326a3fc4c2b0f80748a3d60c2,0x62fb033e620b75bfac4724fd9baebd52869b1da5
0x3e8b017608c4bb479417aa128caa6c55bcfe2444,0x818430846709b978612737e887d4f19b331576c0
0x95c74d9d162db9255fc3859ec7552ba33f5de990,0xbeab3473525185236f8696aba5b8614c67440562
0xaf6ac70fc92952edcfbf253a48c77f731eacdc30,0x2ee08817311fdd64ec31cc66953b660547018b10
0xaf6ac70fc92952edcfbf253a48c77f731eacdc30,0x66f176bb173de87fce3d1e828badea5081b7fb5e
0xaf6ac70fc92952edcfbf253a48c77f731eacdc30,0xa88ce09448bbef7c5808a6c7d2199781c13942ee
0xbd93b6923143b8541dbd84887e19c793fb47e8c9,0x695d4e4936c0de413267c75ca684fc317e03a819
