addresses,projects,name,protocol
"['0xd31695a1d35e489252ce57b129fd4b1b05e6acac', '0x3d371413dd5489f3a04c07c0c2ce369c20986ceb', '0xef5a3745f822f8f83693564c54904d7ff156cfb2', '0x78688eb50cf6fcff197db9b2370a27a7f98adb88', '0x734289520792b2d7ad8a0f2a219f49c97ec1d45c', '0xedb9a0b02ad1823311cb32391cc1e111c30c42bf', '0x860bd2dba9cd475a61e6d1b45e16c365f6d78f66', '0xc8046263d5b5544f6413a98b4693488499195a46', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0x00000000000000000000000d1d0c34c1ae6f6e9d', '0xa7b17b26c2b9d5062fd75519f1295348a50ad495', '0x1111111254fb6c44bac0bed2854e76f90643097d', '0x5ef30b9986345249bc32d8928b7ee64de9435e39', '0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b', '0x0000000000000000000000000000000000000000', '0x0000000000000000000000000000000000005af8', '0x1eb4cf3a948e7d72a198fe073ccb8c7a948cd853', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x9759a6ac90977b93b58547b4a71c78317f391a28', '0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7', '0x0000000000000000000000000000000000000040', '0x306845bfc02bc58a5ae55cf99d92266903380298', '0x2f0b23f53734252bda2277357e97e1517d6b042a', '0x6b175474e89094c44da98b954eedeac495271d0f', '0xc7b548ad9cf38721810246c079b2d8083aba8909', '0x2a49eae5cca3f050ebec729cf90cc910fadaf7a2', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8', '0x8214fc296391513943f7ca58733bb2074bac807c', '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640', '0x0000000000000000000015a3031d1bbf39594fcf', '0xb5eb8cb6ced6b6f8e13bcd502fb489db4a726c7b']","[{'id': 'makermcd'}, {'id': 'makermcd'}, {'id': 'uniswap_v3'}, {'id': 'gnosis_safe'}, {'id': 'makermcd'}, {'id': 'coinbase'}, {'id': 'curvefi'}, {'id': 'makermcd'}, {'id': 'zeroex'}, {'id': 'makermcd'}]",Flashloan detected,ethereum
"['0xa3e9b5e1dc6b24f296ffcf9c085e2546a466b883', '0xf3c27b49409d62bc50e3497c035a5208f0f8a401', '0xdcef968d416a41cdac0ed8702fac8128a64241a2', '0x5e8e7e01b4027f1b68cc213dff288661900d109f', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xf8c91e5bffdd79ef7d1d6f9ae3391e021ffcbd73', '0xd7abc64cafc30fdd08a42ea4bc13846be455399c', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xf403c135812408bfbe8713b5a23a04b3d48aae31', '0xd9f58e35fef6dac51dc34db257fcf863bd1a0f6c', '0x2deaf758bf27c8a2afbe24437e9d6fbfd8e6ec73', '0x81ce0b194cea336c22244139ff71426ac5fc750e', '0xcd137da80193b60de953abf74bad89408a552c47', '0x117a0bab81f25e60900787d98061ccfae023560c', '0x62fbf417978259a67a362ab603e09bc8795159e6', '0x9b2b74244489b33f482dd41609d91316aa658437', '0x5f3b5dfeb7b28cdbd7faba78963ee202a494e2a2', '0x0000000000000000000000000000000000000000', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0x2f50d538606fa9edd2b11e2446beb18c9d5846bb', '0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc', '0x116529c8e3897257762e8ffdd8c0184978f33150', '0x51d5c5d784334a4b52a07ac13d9db79cbefa1642', '0xa422ca380bd70eef876292839222159e41aaee17', '0x98a60c175ff02fc099383c6f6504a82ad8b85248', '0x3e233e6f1c6709be546ee2ef10bafce59819577a', '0x55c87d6646a9a5c5745e2ab0f5bdfbf35b529223', '0x989aeb4d175e16225e39e87d0d97a3360524ad80', '0x9abbd49ff49fcb0fa5b59e53cc057e683434380b', '0x6adcd1c2a36efba34801384cc4a18f754a4de20e', '0x9ac2ac2f86aca7ea5c764c214c730dc8b0f72262', '0x56f98706c14df5c290b02cec491bb4c20834bb51', '0xd533a949740bb3306d119cc777fa900ba034cd52', '0x1753a500d370f2a14419d8614a4b24ee6f127855', '0x55cc38d75197fbd03cede8f1588dcff0f30e36d4', '0xb7499a92fc36e9053a4324affae59d333635d9c3', '0xe239a70383ae94f03ce30be1cd09b05d19f5b37b', '0x14d04fff8d21bd62987a5ce9ce543d2f1edf5d3e', '0xfe3b8248f5bfde88233c87ee17d49143849f9f28', '0xc0b3799d31875cbae5450528663a3d205d62ac0f', '0x986b5e1e1755e3c2440e960477f25201b0a8bbd4', '0x7534632c4b28e9661c2baf40069d3aa4289c79a0', '0x56045d514799074e474ee0ac9508162202f62d32', '0x8e0c00ed546602fd9927df742bbabf726d5b0d16', '0xfd1d36995d76c0f75bbe4637c84c06e4a68bbb3a', '0xe5bbbdb2bb953371841318e1edfbf727447cef2e', '0x27403b2756e9c2f436fb13e0b188dd231f1da170', '0x7e880867363a7e321f5d260cade2b0bb2f717b02', '0x617b89b0e0c87267a2ae3f77fc1b7f83379456da', '0xd0921691c7debc698e6e372c6f74dc01fc9d3778', '0xcfc25170633581bf896cb6cdee170e3e3aa59503', '0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c', '0xcd3c2ab95cf91665d590751cdd3d7959c41951f4', '0x40000019df2f05ae6c1eacdfa4886b5dc6040004', '0x4bccd452db6508bb0f1e67939f989bff55256873', '0x0000000000000000000000000000000000000064', '0x3175df0976dfa876431c2e9ee6bc45b65d3473cc']","[{'id': 'chainlink'}, {'id': 'coinbase'}, {'id': 'chainlink'}, {'id': 'convex'}, {'id': 'curvefi'}, {'id': 'chainlink'}, {'id': 'chainlink'}, {'id': 'uniswap_v2'}, {'id': 'curvefi'}, {'id': 'curvefi'}, {'id': 'convex'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0x8f7dd6039963148404933d05e0c5d48973a90c51', '0x57ab5aeb8bac2586a0d437163c3eb844246336ce', '0x09a3ecafa817268f77be1283176b946c4ff2e608', '0x87da823b6fc8eb8575a235a824690fda94674c88', '0xa47c8bf37f92abed4a126bda807a7b7498661acd', '0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0x60cd93e3485cf789acd5e51f840f86e7cc6fc759']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}, {'id': 'sushi'}, {'id': 'mirror_protocol'}]",Flashloan detected,ethereum
"['0x236b0d86af08e4e821d8baba975e3456a2286796', '0x3f876fc829f45cd35c98f1c68ae2b49fe35db492', '0x4dbe0898bb125a5fa7afd2b7c0c6f54743fdf808', '0x7ae0d42f23c33338de15bfa89c7405c068d9dc0a', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a']","[{'id': 'zeroex'}, {'id': 'uniswap_v2'}]",Flashloan detected,ethereum
"['0xa0d55532fa467db182780b6adaf34817ee99054d', '0xe1573b9d29e2183b1af0e743dc2754979a40d237', '0x7a9bd205b55ccb1cc1c5b99ff5db87a6e7b2c38b', '0x56695c26b3cdb528815cd22ff7b47510ab821efd', '0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0', '0xc2544a32872a91f4a553b404c6950e89de901fdb', '0x853d955acef822db058eb8505911ed77f175b99e', '0xd7c09e006a2891880331b0f6224071c1e890a98a']","[{'id': 'frax'}, {'id': 'uniswap_v2'}, {'id': 'frax'}]",Flashloan detected,ethereum
"['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x1cac7a07e8cb87b73d94747028845638d55d3fde', '0x57ab5aeb8bac2586a0d437163c3eb844246336ce', '0x87da823b6fc8eb8575a235a824690fda94674c88', '0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', '0x09a3ecafa817268f77be1283176b946c4ff2e608', '0xa47c8bf37f92abed4a126bda807a7b7498661acd']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'mirror_protocol'}, {'id': 'zeroex'}, {'id': 'sushi'}]",Flashloan detected,ethereum
"['0x000000000000000000000b4764387f1ff85191f7', '0xdd9f24efc84d93deef3c8745c837ab63e80abd27', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0x2a49eae5cca3f050ebec729cf90cc910fadaf7a2', '0x0000000000000000000000000000000000000040', '0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8', '0x000000000000000000000000000000000000727d', '0x5ef30b9986345249bc32d8928b7ee64de9435e39', '0x0000000000000000000000059a457ddb8d33c4df', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0x61789f1aab5c8ff9bc3c66e2218d36efc770534a', '0xf04a5cc80b1e94c69b48f5ee68a08cd2f09a7c3e', '0x60594a405d53811d3bc4766596efd80fd545a270', '0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7', '0xf5e31e46d696e04e80c4f36155d0d774339e952d', '0x1eb4cf3a948e7d72a198fe073ccb8c7a948cd853', '0x1111111254fb6c44bac0bed2854e76f90643097d', '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xc7b548ad9cf38721810246c079b2d8083aba8909', '0xb5eb8cb6ced6b6f8e13bcd502fb489db4a726c7b', '0x0000000000000000000000000000000000000000', '0x7b1ec9455faf8ae6843331ed22a3078e36b0ce27', '0x6b175474e89094c44da98b954eedeac495271d0f', '0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b', '0x9759a6ac90977b93b58547b4a71c78317f391a28']","[{'id': 'coinbase'}, {'id': 'gnosis_safe'}, {'id': 'makermcd'}, {'id': 'uniswap_v3'}, {'id': 'makermcd'}, {'id': 'curvefi'}, {'id': 'makermcd'}, {'id': 'uniswap_v3'}, {'id': 'makermcd'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xa47c8bf37f92abed4a126bda807a7b7498661acd', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x1cac7a07e8cb87b73d94747028845638d55d3fde', '0x57ab5aeb8bac2586a0d437163c3eb844246336ce', '0x87da823b6fc8eb8575a235a824690fda94674c88', '0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', '0x09a3ecafa817268f77be1283176b946c4ff2e608']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}, {'id': 'sushi'}, {'id': 'mirror_protocol'}]",Flashloan detected,ethereum
"['0x1fcc3e6f76f7a96cd2b9d09f1d3c041ca1403c57', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xb638f7a81dbf3ec731a758e4c848ce2dcfbabe71', '0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x20e95253e54490d8d30ea41574b24f741ee70201', '0x00000000000e1d0dabf7b7c7b68866fc940d0db8', '0x4c5c2dd90634ec51d2a912314ccf8ab7046291c9', '0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5']","[{'id': 'coinbase'}, {'id': 'hex'}, {'id': 'uniswap_v3'}, {'id': 'zeroex'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
