name,total_stolen
Ethereum Name Service (ENS),25
FVCK_AVATAR//,10
HUXLEY Comics,8
GRAYCRAFT2,8
KPOPCTzen_Official,8
Monkey Legends - Official,7
PUNKS Comic 2,5
Satoshis Legions - The Legionnaires,5
Hyundai Metamobility - Shooting star,4
Substrata Parcel,4
Okay Bears Yacht Club,4
Otherdeed for Otherside,3
Sandbox's LANDs,3
Zero Name Service,3
RKLSneakers,3
Jenkins the Valet,2
Gaming Ape Club,2
World of Women Galaxy,2
KnownOriginDigitalAsset,2
DeadFellaz,2
BVGARDEN,2
The Paradox Meta,2
Meta-Legends,2
Victoria VR Lands,2
Undead Blocks Genesis Weapons,2
PunkScape,2
The Orbs by BT,2
Pirates of the Metaverse by Drip Studios,2
loomlocknft,2
Knights of Degen,2
FVCK_CRYSTAL//,2
Pixel Vault Founder's DAO,2
Fancy Bears,2
TCG Dragon Cave Club,2
Pixl Pets,2
SuperRare,2
CatBlox Genesis Collection,2
Blvck Genesis,2
Habbo Avatars,2
The Degenaissance,1
Squad Of Knights,1
Meta Eagle Club,1
Vogu,1
Known Origin,1
EVMavericks,1
LinksDAO,1
Alien Frens Evolution,1
PREMINT Collector Pass - OFFICIAL,1
5KM,1
Angry Pitbull Club,1
Neo Samurai Monkeys,1
Merge,1
Never Fear Truth  by Johnny Depp,1
Gen-F,1
Warriors of Aradena,1
Robotos,1
Non-Fungible Fungi Collection,1
NFTBoxes,1
VeeFriends Series 2,1
Forever Fomo Duck Squad,1
LOSTPOETS POET,1
Cool Pets,1
ChinaChic NFT,1
Wall Street Bulls,1
BEANZ Official,1
DystoApez,1
ArcadeNFT,1
Satoshibles,1
HENI: Damien Hirst - The Empresses,1
KPK Project,1
Toxic Skulls Club,1
BFF,1
MultiNode,1
"I Like You, You're Weird",1
CloneX,1
tubby cats by tubby collective,1
Lil Heroes,1
Dream Catcher Open Editions by Steve Aoki x Antoni Tudisco,1
PharaGods-NFT,1
Creepy Creams,1
Gutter Clones,1
SuperNormalbyZipcy,1
ASMBrain,1
Gray Boys,1
CryptoChasers Robot,1
Lucky Lion CLub,1
Baller Bears,1
