from,collection,total_lost
\xa1199b231609b9dd3697076761fd402a98c66e80,"I Like You, You're Weird",167
\x59dc6d5528ac12c62f579998af7a5b27dadba566,Ethereum Name Service (ENS),64
\x9fe5b9819878679ada7f7ab19066f12393807498,Trippy Toadz NFT,56
\xebe1125c2bb2676c157a0948af88b9af17f9babe,Antebellum Genesis Land,40
\x283af0b28c62c092c9727f1ee09c02ca627eb7f5,Ethereum Name Service (ENS),39
\x95f6915a3839c284bac794a85032555aa0b56226,ForgottenRunesWizardsCult,33
\xc80cf238c3fdec3fd65077f5e31dfca0a90ba647,VaynerSports Pass VSP,31
\x9bf2d9db244785131b13e85625fcf5ab1dd5d9c3,Troverse Planets,30
\x989d669df7e7906c928d95aaecf70298d80e81e3,Hashmasks,29
\x191e377e2a2178158d1759c66af01d0b7c707e1e,Bulls & Apes Project - Genesis,28
\xb5584bfdb0f869f35764f975da6c482e29e871c0,Ethereum Name Service (ENS),27
\x98eff5deee2e0a9205423f2f796ec88d1d99b2d9,Crypto Cannabis Club,26
\xfb3d678c6672bdc022ab45db528fed7ddc4c1603,Ethereum Name Service (ENS),25
\xe808942636cea4a55fc1741e1aaa47b9b5ff60ce,Edenhorde,23
\x4594b9fdeea59628a8d517304b592c76cbcad2b4,Ape Reunion,23
\x041984dbc74a4e8f82a96b03b2f16b8e520cc7ed,Avarik Saga,22
\xfd346092f0956538fb1e7c007a0aa2f886fb5cd6,COVIDPunks,21
\x420aa9b92f8cd1d73d118bcd6ba9208911a423ce,Meta-Legends,21
\xed13923aa0e92e8fafb03a13e1a96d61d01c8b27,Otherdeed for Otherside,21
\x068cfd47ae3e4a96c74b255e02939749434aafba,Polychain Monsters,20
\x883f5907768785ed7c781d620b96c786c04aac67,Ethereum Name Service (ENS),20
\x0a287aa956fb3fe27c5fb387ec7821ea40b0c5ce,Ethereum Name Service (ENS),20
\x5b78f06123ee99dc8b21d4e1ef51afe08059d5ec,MarsCatsVoyage,19
\x18dd509486858ac622ce217d9ed2ad89e4005f88,Gutter Clones,18
\x3913fe59404205873a0af9cea4ad78850f48dc37,goblintown.wtf,18
\x3ccfe7250a19c98723e49caef98506318f393482,Toxic Skulls Club,18
\x17d19da0dacc522ac86e55db724cc7035e2355d9,NonFungibleHeroes,17
\x12b6b076b169ca1d25b7ac5dec436ea8067b0cf6,Apocalyptic Apes,17
\x62de396a856f0d7a0c737237426eab321ed19a86,VOX Collectibles: The Walking Dead,17
\x996986c5a3203e4f8932fea3b0f50afceb638952,Capsule,17
\xdc643c5ec36ed03f43f9e5ea111ec3a933c1ff02,Ethereum Name Service (ENS),17
