name,symbol,number_of_nfts
Azuki,AZUKI,37
NFT Worlds,NFT Worlds,25
Doodles,DOODLE,11
Boss Beauties,BOSSB,10
Farm Land by Pixels,FARM,10
mfer,MFER,9
Fighter,FIGHTER,9
Gray Boys,GRAY,8
the littles NFT,thelittlesnft,7
MutantApeYachtClub,MAYC,7
KaijuKingz,KAIJU,7
Nanopass,NP,6
CloneX,CloneX,6
Cool Cats,COOL,5
Superlative Apes,SLAPE,5
The Doge Pound,DOGGY,4
Bored Ape Kennel Club,BAKC,4
CoolmansUniverse,COOLMAN,3
Dastardly Ducks,DASDUK,3
Budverse Cans - Heritage Edition,BUDWEISER,3
FVCK_CRYSTAL//,CRYST,3
Bored Ape Yacht Club,BAYC,3
PLUTO,PLUTO,2
FLUF,FLUF,2
PXQuest Adventurer,PXQ,2
Evaverse,EVA,2
Fishy Fam,FF,2
GenerativeDungeon,GENDUN,2
Girlies,GRLS,2
Monster Ape Club,MAC,2
Hero,HERO,2
TheCurrency,TENDER,2
Decentraland,LAND,2
Edenhorde,EH,2
RugBurn,RBN,1
STAPLEVERSE - FEED CLAN,FEED,1
Secret NFT Club,NFT,1
Sipher INU,INU,1
Stuff up Butts,BUTTS,1
SupDucks,SD,1
Swampverse,SWAMPER,1
Syn City Genesis Passes,SYNP,1
T-O-S The Other Side,TOS,1
WVRPS by Warpsound,WVRPS,1
alien frens,ALIENFRENS,1
hausphases,HAUS,1
MightyBabyDragons,MBDV2,1
Alien Punks,ALIENPUNK,1
Angry Ape Army,AAA,1
Animetas,ANMT,1
Bamboozlers,Bamboozlers,1
C-01 Official Collection,C-01,1
CanineCartel,CARTEL,1
Capsule,CAPSULE,1
Catshit Crazy NFT,CSC,1
Cool Monkes,CMNKS,1
Creature World,CREATURE,1
CryptoBatz by Ozzy Osbourne,BATZ,1
DEGEN TOONZ COLLECTION,TOONZ,1
DoodleDoge,DDOGE,1
Drop Bears,DBS,1
Ethereum Name Service (ENS),ENS,1
FOMO MOFOS,FOMO,1
Fudders,NGMI,1
Gutter Punks - DEGEN TOONZ,GPDT,1
Ikuza,IKUZA,1
KBOT_FACTORY,KBOTS,1
Killer GF,KGF,1
KylerAndJesus,K&J,1
Letters,LETTERS,1
Lil Baby Punk,LBP,1
Lil Heroes,LIL,1
Meebits,⚇,1
ALPACADABRAZ 3D,PACA 3D,1
Morphs Official,MORPHS,1
Oracle,Oracle,1
Polzilla,POLZILLA,1
PudgyPenguins,PPG,1
Rarible,RARI,1
Rock Dogs,RDOG,1
